Date,Not indexed,Indexed,Impressions
2026-01-25,,,18
2026-01-26,,,42
2026-01-27,57,32,112
2026-01-28,65,35,86
2026-01-29,65,35,76
2026-01-30,65,35,123
2026-01-31,65,35,52
2026-02-01,71,38,70
2026-02-02,71,38,71
2026-02-03,71,38,101
2026-02-04,77,38,89
2026-02-05,77,38,86
2026-02-06,77,38,78
2026-02-07,77,38,89
2026-02-08,79,36,73
2026-02-09,79,36,102
2026-02-10,79,36,76
2026-02-11,99,36,87
2026-02-12,99,36,82
2026-02-13,99,36,81
2026-02-14,99,36,73
2026-02-15,100,35,63
2026-02-16,100,35,62
2026-02-17,100,35,57
2026-02-18,96,35,86
2026-02-19,96,35,94
2026-02-20,96,35,73
2026-02-21,96,35,60
